Stressed word,Transcription,Comment
мо́ре,м°о̃́ре,
на́ш,на̃́ш,
снігопа́д,с´н´і̃г°опа́д,
кре́м,кре̃́м,
чаву́н,чав°у̃́н,
кі́нь,к'і̃́н´,
сона́та,с°о̃на̃́та,
мунди́р,м°у̃нди́р,
ря́ска,р´·а́ска,
краве́ць,краве́·ц´,
ліле́я,л´іле́·j·а,
лю́лька,л´°·у́·л´ка,
дя́дько,д´·а́·д´к°о,
бі́гти,б'і́гти,
спі́ви,с´п'і́ви,
гі́лка,г'і́лка,
пе́рвісток,пе́рв'іст°ок,
мі́сто,м'і̃́ст°о,
фі́льм,ф'і́л´м,
жі́нка,ж'і̃́нка,
розпаші́лий,р°озпа·ш'і́лиĭ,
ґе́рґіт,ґе́рґ'іт,
доста́ток,д°оста́т°ок,
гуцу́л,г°уц°у́л,
капу́ста,кап°у́ста,
ху́тро,х°у́тр°о,
подорожува́ти,п°од°ор°ож°ува́ти,
зоря́,з°о·р´·а́,
розсе́рдитися,р°озсе́рди(е)ти(е)с´·а,
безпе́ка,бе(и)зпе́ка,
відто́ді,в'ідт°о́·д´і,
підписа́ти,п'ідпи(е)са́ти,
обста́вини,обста́ви̃(е)ни̃,
міжплане́тний,м'і̃жпла̃не̃́тни̃ĭ,
боротьба́,б°ор°о·д´ба́,
Ви́шгород,ви́жг°ор°од,
про́сьба,пр°о́·з´ба,
анекдо́т,а̃не̃(и)ґд°о́т,
плацда́рм,плад͡зда́рм,
ле́гко,ле́хк°о,
ле́гкоатле́т,ле́хк°оатле́т,
во́гко,в°о́хк°о,
во́гкість,в°о́хк'іс´т´,
кі́гті,к'і́хт´і,
кі́гтики,к'і́хти(е)ки,
ні́гті,н´і̃́хт´і,
ні́гтиком,н´і̃́хти(е)к°о̃м,
дьо́гтю,д´°·о́хт´°·у,
дігтя́р,д´іхт´·а́р,
зцементува́ти,сце̃(и)ме̃(и)нт°ува́ти,
зси́пати,с:и́пати,
ка́зка,ка́зка,
сте́жка,сте́жка,
бли́жчий,бли́жчиĭ,
везти́,ве(и)зти́,
збері́гся,збе(и)·р´і́гс´·а,
са́д,са́д,
рі́ж,р´і́ж,
карту́з,карт°у́з,
гри́б,гри́б,
ґа́ндж,ґа̃́нд͡ж,
ґе́дзь,ґе́·д͡з´,
Середзе́мний,се(и)ре(и)д͡ззе̃́мни̃ĭ,
відзна́ка,в'ід͡ззна̃́ка,
забу́дься,заб°у́·д͡з´с´·а,
ві́дстань,в'і́д͡зста̃·н´,
оселе́дцем,осе(и)ле́д͡зце̃м,
відцура́тися,в'ід͡зц°ура́ти(е)с´·а,
солда́тський,с°олда́·ц´киĭ,
стара́ються,стара́·j°·у·ц´:·а,
копи́тце,к°опи́ц:е,
спортза́л,сп°орд͡зза́л,
піджа́ти,п'ід͡жжа́ти,
моло́дший,м°о̃л°о́д͡жшиĭ,
підши́вка,п'ід͡жши́ўка,
засві́дчити,за·с´в'і́д͡жчи(е)ти,
відчи́нено,в'ід͡жчи̃́не̃(и)н°о̃,
коро́тший,к°ор°о́чшиĭ,
льо́тчик,л´°·о́ч:и(е)к,
міжзо́ряний,м'і̃з°:о́·р´·а̃ни̃ĭ,
міжсезо́ння,м'і̃зсе(и)з°о̃́·н´:·а̃,
наї́жся,на̃·jі́з´с´·а,
сирої́жці,си(е)р°о·jі́з´ц´і,
кі́шці,к'і́с´ц´і,
дочці́,д°о·ц´:і́,
пого́дишся,п°ог°о́ди(е)с´:·а,
сього́дні,с´°·ог°о́·д´н´і̃,
петля́,пе(и)·т´л´·а́,
пе́нсія,пе̃́·н´с´іj·а,
та́нці,та̃́·н´ц´і,
кінці́вка,к'і̃н´ц´і́ўка,
гі́лці,г'і́л´ц´і,
ку́зня,к°у́·з´н´·а̃,
ла́зня,ла́·з´н´·а̃,
сні́г,с´н´і̃́г,
ві́сть,в'і́с´т´,
ра́дість,ра́·д´іс´т´,
молодці́,м°о̃л°о·д͡з´ц´і́,
міцні́,м'і̃ц´н´і̃́,
відділи́ти,в'ід´:іли́ти,
відтягти́,в'ід´т´·агти́,
підня́ти,п'ід´н´·а̃́ти,
роззя́ва,р°о·з´:·а́ва,
розсі́стися,р°о·з´с´і́сти(е)с´·а,
звідтіля́,зв'ід´т´іл´·а́,
відті́нок,в'ід´т´і̃́н°о̃к,
Дніпро́,д´н´і̃пр°о́,
підніма́ти,п'ід´н´і̃ма̃́ти,
віддя́чити,в'ід´:·а́чи(е)ти,
