Stressed word,Transcription,Comment,G2P,G2P_
мо́ре,м°о̃́ре,,море,
на́ш,на̃́ш,,наш,
снігопа́д,с´н´і̃г°опа́д,,с'н'ігопад,
кре́м,кре̃́м,,крем,
чаву́н,чав°у̃́н,,чавун,
кі́нь,к'і̃́н´,,к'ін',
сона́та,с°о̃на̃́та,,соната,
мунди́р,м°у̃нди́р,,мундир,
ря́ска,р´·а́ска,,р'аска,
краве́ць,краве́·ц´,,кравец',
ліле́я,л´іле́·j·а,,л'ілейа,
лю́лька,л´°·у́·л´ка,,л'ул'ка,
дя́дько,д´·а́·д´к°о,,д'ад'ко,
бі́гти,б'і́гти,,б'іхти,
спі́ви,с´п'і́ви,,сп'іви,
гі́лка,г'і́лка,,г'ілка,
пе́рвісток,пе́рв'іст°ок,,перв'істок,
мі́сто,м'і̃́ст°о,,м'істо,
фі́льм,ф'і́л´м,,ф'іл'м,
жі́нка,ж'і̃́нка,,ж'інка,
розпаші́лий,р°озпа·ш'і́лиĭ,,розпаш'ілий,
ґе́рґіт,ґе́рґ'іт,,ґерґ'іт,
доста́ток,д°оста́т°ок,,достаток,
гуцу́л,г°уц°у́л,,гуцул,
капу́ста,кап°у́ста,,капуста,
ху́тро,х°у́тр°о,,хутро,
подорожува́ти,п°од°ор°ож°ува́ти,,подорожувати,
зоря́,з°о·р´·а́,,зор'а,
розсе́рдитися,р°озсе́рди(е)ти(е)с´·а,,розсердитис'а,
безпе́ка,бе(и)зпе́ка,,безпека,
відто́ді,в'ідт°о́·д´і,,в'ідтод'і,
підписа́ти,п'ідпи(е)са́ти,,п'ідписати,
обста́вини,обста́ви̃(е)ни̃,,обставини,
міжплане́тний,м'і̃жпла̃не̃́тни̃ĭ,,м'іжпланетний,
боротьба́,б°ор°о·д´ба́,,бород'ба,
Ви́шгород,ви́жг°ор°од,,вижгород,
про́сьба,пр°о́·з´ба,,проз'ба,
анекдо́т,а̃не̃(и)ґд°о́т,,анеґдот,
плацда́рм,плад͡зда́рм,,плаzдарм,
ле́гко,ле́хк°о,,лехко,
ле́гкоатле́т,ле́хк°оатле́т,,лехкоатлет,
во́гко,в°о́хк°о,,вохко,
во́гкість,в°о́хк'іс´т´,,вохк'іс'т',
кі́гті,к'і́хт´і,,к'іхт'і,
кі́гтики,к'і́хти(е)ки,,к'іхтики,
ні́гті,н´і̃́хт´і,,н'іхт'і,
ні́гтиком,н´і̃́хти(е)к°о̃м,,н'іхтиком,
дьо́гтю,д´°·о́хт´°·у,,д'охт'у,
дігтя́р,д´іхт´·а́р,,д'іхт'ар,
зцементува́ти,сце̃(и)ме̃(и)нт°ува́ти,,сцементувати,
зси́пати,с:и́пати,,ссипати,
ка́зка,ка́зка,,казка,
сте́жка,сте́жка,,стежка,
бли́жчий,бли́жчиĭ,,ближчий,
везти́,ве(и)зти́,,везти,
збері́гся,збе(и)·р´і́гс´·а,,збер'ігс'а,
са́д,са́д,,сад,
рі́ж,р´і́ж,,р'іж,
карту́з,карт°у́з,,картуз,
гри́б,гри́б,,гриб,
ґа́ндж,ґа̃́нд͡ж,,ґанj,
ґе́дзь,ґе́·д͡з´,,ґеz',
Середзе́мний,се(и)ре(и)д͡ззе̃́мни̃ĭ,,сереzземний,сереzемний
відзна́ка,в'ід͡ззна̃́ка,,в'іzзнака,в'іzнака
забу́дься,заб°у́·д͡з´с´·а,,забуz'с'а,
ві́дстань,в'і́д͡зста̃·н´,,в'іzстан',в'іzтан'
оселе́дцем,осе(и)ле́д͡зце̃м,,оселеzцем,
відцура́тися,в'ід͡зц°ура́ти(е)с´·а,,в'іzцуратис'а,
солда́тський,с°олда́·ц´киĭ,,солдацсмйакИйзнАккий,
стара́ються,стара́·j°·у·ц´:·а,,старайуц'ц'а,
копи́тце,к°опи́ц:е,,копицце,
спортза́л,сп°орд͡зза́л,,спордзал,спорцзал
піджа́ти,п'ід͡жжа́ти,,п'іjати,
моло́дший,м°о̃л°о́д͡жшиĭ,,молоjший,
підши́вка,п'ід͡жши́ўка,,п'іjшивка,
засві́дчити,за·с´в'і́д͡жчи(е)ти,,засв'іjчити,
відчи́нено,в'ід͡жчи̃́не̃(и)н°о̃,,в'іjчинено,
коро́тший,к°ор°о́чшиĭ,,корочший,
льо́тчик,л´°·о́ч:и(е)к,,л'оччик,
міжзо́ряний,м'і̃з°:о́·р´·а̃ни̃ĭ,,м'іззор'аний,
міжсезо́ння,м'і̃зсе(и)з°о̃́·н´:·а̃,,м'ізсезон'н'а,
наї́жся,на̃·jі́з´с´·а,,найіз'с'а,
сирої́жці,си(е)р°о·jі́з´ц´і,,сиройіжц'і,
кі́шці,к'і́с´ц´і,,к'іс'ц'і,
дочці́,д°о·ц´:і́,,доц'ц'і,
пого́дишся,п°ог°о́ди(е)с´:·а,,погодис'с'а,
сього́дні,с´°·ог°о́·д´н´і̃,,с'огод'н'і,
петля́,пе(и)·т´л´·а́,,петл'а,
пе́нсія,пе̃́·н´с´іj·а,,пенс'ійа,
та́нці,та̃́·н´ц´і,,танц'і,
кінці́вка,к'і̃н´ц´і́ўка,,к'інц'івка,
гі́лці,г'і́л´ц´і,,г'ілц'і,
ку́зня,к°у́·з´н´·а̃,,куз'н'а,
ла́зня,ла́·з´н´·а̃,,лаз'н'а,
сні́г,с´н´і̃́г,,с'н'іг,
ві́сть,в'і́с´т´,,в'іс'т',
ра́дість,ра́·д´іс´т´,,рад'іс'т',
молодці́,м°о̃л°о·д͡з´ц´і́,,молоz'ц'і,
міцні́,м'і̃ц´н´і̃́,,м'іц'н'і,
відділи́ти,в'ід´:іли́ти,,в'ід'д'ілити,
відтягти́,в'ід´т´·агти́,,в'ід'т'ахти,
підня́ти,п'ід´н´·а̃́ти,,п'ід'н'ати,
роззя́ва,р°о·з´:·а́ва,,роз'з'ава,
розсі́стися,р°о·з´с´і́сти(е)с´·а,,роз'с'істис'а,
звідтіля́,зв'ід´т´іл´·а́,,зв'ід'т'іл'а,
відті́нок,в'ід´т´і̃́н°о̃к,,в'ід'т'інок,
Дніпро́,д´н´і̃пр°о́,,д'н'іпро,
підніма́ти,п'ід´н´і̃ма̃́ти,,п'ід'н'імати,
віддя́чити,в'ід´:·а́чи(е)ти,,в'ід'д'ачити,
со́тня,с°о́·т´н´·а̃,,сот'н'а,
партдія́ч,пард´:іj·а́ч,,парт'д'ійач,пардд'ійач
ке́ндюх,ке̃́·н´д´°·ух,,кен'д'ух,
І́ндія,і̃́н´д´іj·а,,ін'д'ійа,
бунтівни́к,б°у̃·н´т´іўни̃́к,,бун'т'івник,
гвинті́вка,гви̃(е)н´т´і́ўка,,гвин'т'івка,
віко́нні,в'ік°о̃́·н´:і̃,,в'ікон'н'і,
пі́зній,п'і́з´н´і̃ĭ,,п'із'н'ій,
весня́нка,ве(и)·с´н´·а̃́нка,,вес'н'анка,
капу́стяний,кап°у́·с´т´·а̃ни̃ĭ,,капус'т'аний,
відціди́ти,в'ід͡з´ц´іди́ти,,в'іz'ц'ідити,
мі́цність,м'і̃́ц´н´і̃с´т´,,м'іц'н'іс'т',
сві́й,св'і́ĭ,,св'ій,
дзві́н,д͡зв'і̃́н,,zв'ін zзв'ін,
зві́р,зв'і́р,,зв'ір,
подря́пати,п°одр´·а́пати,,подр'апати,
мандрі́вка,ма̃ндр´і́ўка,,мандр'івка,
потрі́йний,п°отр´і́ĭни̃ĭ,,потр'ійний,
Ге́нріх,ге̃́нр´іх,,генр'іх,
двірни́к,дв'ірни̃́к,,дв'ірник,
кандмі́німум,ка̃ндм'і̃́н´і̃м°у̃м,,кандм'ін'імум,
тві́р,тв'і́р,,тв'ір,
тхі́р,тх'і́р,,тх'ір,
палкі́,палк'і́,,палк'і,
голкі́пер,г°олк'і́пе(и)р,,голк'іпер,
алхі́мік,алх'і̃́м'і̃к,,алх'ім'ік,
ганчі́рка,га̃нч'і́рка,,ганч'ірка,
то́нші,т°о̃́нш'і,,тонш'і,
конкістадо́р,к°о̃нк'істад°о́р,,конк'істадор,
конфіденці́йно,к°о̃нф'іде̃(и)·н´ц´і́ĭн°о̃,,конф'іденц'ійно,
замрі́яний,за̃мр´і́j·а̃ни̃ĭ,,замр'ійаний,
колі́брі,к°о·л´і́бр´і,,кол'ібр'і,
кра́пля,кра́пл´·а,,крапл'а,
ка́пці,ка́пц´і,,капц'і,
те́рпкість,те́рпк'іс´т´,,терпк'іс'т',
авті́вка,аўт´і́ўка,,авт'івка,
пі́вніч,п'і́ўн´і̃ч,,п'івн'іч,
ту́флі,т°у́фл´і,,туфл'і,
ка́шляти,ка́шл´·ати,,кашл'ати,
ви́шня,ви́шн´·а̃,,вишн'а,
ти́жні,ти́жн´і̃,,тижн'і,
міжгі́р'я,м'і̃жг'і́рj·а,,м'іжг'ірйа,
по́ручні,п°о́р°учн´і̃,,поручн'і,
смачні́,сма̃чн´і̃́,,смачн'і,
рвучкі́,рв°учк'і́,,рвучк'і,
надчітки́й,на̃д͡жч'ітки́ĭ,,наjч'іткий,
хлі́б,хл´і́б,,хл'іб,
хві́ртка,хв'і́ртка,,хв'іртка,
крі́плення,кр´і́пле̃(и)·н´:·а̃,,кр'іплен'н'а,
кліти́на,кл´іти̃́на̃,,кл'ітина,
кві́тка,кв'і́тка,,кв'ітка,
ґні́т,ґн´і̃́т,,ґн'іт,
огля́дини,огл´·а́ди̃(е)ни̃,,огл'адини,
глі́д,гл´і́д,,гл'ід,
корті́ти,к°орт´і́ти,,корт'іти,
по́рція,п°о́рц´іj·а,,порц'ійа,
барві́нок,барв'і̃́н°о̃к,,барв'інок,
корчі́,к°орч'і́,,корч'і,
харчі́,харч'і́,,харч'і,
гу́ркіт,г°у́рк'іт,,гурк'іт,
маркі́за,ма̃рк'і́за,,марк'іза,
мі́дний,м'і̃́дни̃ĭ,,м'ідний,
розповідни́й,р°озп°о·в'ідни̃́ĭ,,розпов'ідний,
двоо́сний,дв°оо́сни̃ĭ,,двоосний,
